id,firstname,lastname,dob,gender,ssn,class,section,classroom,specialization
85,Filia,Pidcock,2017/04/02,F,3538529470183552,3,CN,Violet,Mauv
86,Bowie,Wabe,2013/12/17,M,676376070329710830,1,CN,Red,Violet
87,Eward,Chetham,2009/02/03,M,5602237725913212374,3,PH,Teal,Yellow
88,Babara,Spitaro,2004/05/07,F,5418347632118766,2,CN,Goldenrod,Puce
89,Odelle,Sewall,2008/08/30,F,3561428126237187,5,FR,Green,Maroon
90,Nelle,Secret,2004/07/07,F,3586746197408242,2,PH,Red,Indigo
91,Blondell,Madgett,2008/06/09,F,3555667373419513,4,SE,Green,Maroon
92,Juditha,Lamp,2009/08/15,F,3528737911680118,2,FR,Aquamarine,Khaki
93,Nonah,Fulep,2003/04/11,F,502013116211110527,4,CN,Pink,Yellow
94,Dar,Klich,2018/09/09,M,560225369009484032,4,RU,Turquoise,Turquoise
95,Gerianna,Grube,2016/10/17,F,3572615732094922,3,ID,Fuscia,Turquoise
96,Tallie,Cordelle,2006/06/11,M,3539180894821895,5,AF,Green,Fuscia
97,Huntington,Igoe,2015/01/15,M,3570395440104428,5,CN,Teal,Aquamarine
98,Garrard,Menpes,2015/01/14,M,6389176788796676,1,GR,Puce,Green
99,Frederica,Syddie,2020/11/05,F,201668269392008,5,BR,Maroon,Aquamarine
100,Berk,McCloughen,2005/07/02,M,3537683886428878,2,TH,Blue,Fuscia
101,Aida,Kubczak,2012/03/18,F,3569523893482867,1,ID,Maroon,Mauv
102,Waldo,Poli,2003/09/03,M,3583120757676189,4,ID,Khaki,Yellow
103,Athene,Ector,2002/12/15,F,3551047421422195,3,CO,Indigo,Crimson
104,Leopold,Kennally,2007/05/16,M,3559040803586184,1,ID,Blue,Orange
105,Chandal,Davidovics,2009/05/05,F,4041596108183,1,CN,Maroon,Indigo
106,Jan,Kumaar,2004/07/31,F,6333976937546972,4,ID,Pink,Maroon
107,Aymer,Jiroutka,2011/01/08,M,5002350903913438,5,CU,Green,Turquoise
108,Florian,Landrieu,2010/12/05,M,3552556017690014,4,US,Blue,Mauv
109,Berrie,Plaskitt,2020/05/09,F,3569868672124812,1,PH,Indigo,Violet
110,Joelle,Rampley,2014/12/16,F,5010123943817541,3,TH,Crimson,Goldenrod
111,Evaleen,Coggill,2013/02/03,F,3529552776829745,2,TH,Goldenrod,Mauv
112,Kliment,Kilborn,2008/08/11,M,30552883003844,4,ID,Teal,Puce
113,Myranda,Petticrow,2014/08/02,F,201873198660265,2,FR,Aquamarine,Mauv
114,Staci,Thresher,2018/05/19,F,3556570762016594,1,CN,Yellow,Violet
115,Julietta,Pallent,2020/11/05,F,5247431812578564,5,TH,Puce,Crimson
116,Bradan,Spellard,2019/07/08,M,5100136161569132,5,BW,Mauv,Crimson
117,Cyndie,Velden,2008/02/01,F,5100178953383793,5,KW,Goldenrod,Yellow
118,Kristos,Radden,2013/03/03,M,5610589328827673,2,RU,Puce,Red
119,Ricard,Predohl,2005/03/17,M,3561104922576801,1,JP,Purple,Blue
120,Zara,Fidgeon,2018/12/13,F,30473979653675,2,ES,Purple,Indigo
121,Christos,McEllen,2003/03/16,M,201664309169886,3,AR,Orange,Goldenrod
122,Tim,Chessell,2008/03/03,F,3545738316028431,1,ID,Crimson,Blue
123,Stephan,Marder,2005/06/25,M,3589986011603282,1,HN,Pink,Pink
124,Madonna,McGowing,2019/07/17,F,3551168246461752,3,ID,Violet,Goldenrod
125,Reade,Hadland,2015/11/28,M,3572126324740773,5,FR,Blue,Pink
126,Devi,Darnbrough,2017/02/07,F,67623435908656352,2,MA,Mauv,Purple
127,Finlay,Clampton,2004/04/22,M,3542694540221537,4,GR,Red,Indigo
128,Cary,Chinge,2014/09/22,F,341253309478629,2,CN,Goldenrod,Aquamarine
129,Lisha,Petrushka,2012/10/17,F,6393190034220377,4,YE,Violet,Violet
130,Stavro,Falconer-Taylor,2006/12/28,M,4905272382629650,3,PL,Crimson,Blue
131,Obed,Lygoe,2017/05/15,M,56102710330481196,1,PE,Red,Maroon
132,Wanids,Rosone,2016/07/24,F,30564313815903,5,SE,Red,Turquoise
133,Emily,Wardhaugh,2019/11/05,F,5020073582560956130,1,CN,Khaki,Khaki
134,Llywellyn,Tissell,2014/08/21,M,5463087063770057,5,AR,Pink,Blue
135,Dale,Headington,2006/05/12,F,3534219917307477,4,CN,Violet,Turquoise
136,Geoff,Willatt,2020/07/07,M,36872889783148,4,PL,Khaki,Maroon
137,Rance,McVicker,2007/04/03,M,3560452329246481,4,AL,Violet,Turquoise
138,Egon,Senten,2008/09/22,M,3529307488309381,4,ID,Green,Turquoise
139,Brandie,Levane,2018/03/19,F,3583026910842966,2,RU,Crimson,Crimson
140,Marian,Butterfield,2005/05/27,F,374288972969041,3,TH,Blue,Violet
141,Conroy,Fewlass,2017/04/12,M,201535565279355,2,VN,Puce,Teal
142,Des,Sprigin,2014/05/13,M,201575422666527,1,RS,Red,Khaki
143,Odette,Varden,2019/10/21,F,36068162641679,4,CN,Yellow,Green
144,Andriana,Bleythin,2006/02/10,F,3552642006694876,3,JP,Pink,Pink
145,Wendye,Bedburrow,2020/04/10,F,4175000587570749,5,RU,Red,Yellow
146,Wenda,Papa,2006/08/17,F,4041595352758,2,RS,Purple,Violet
147,Mendel,Chillingworth,2008/04/26,M,30366492661094,2,RU,Maroon,Goldenrod
148,Iver,Goodman,2006/11/08,M,3544889230380811,2,PT,Fuscia,Orange
149,Wolfgang,Berre,2020/08/05,M,3570531013771371,1,CN,Purple,Crimson
150,Niel,Darey,2006/11/24,M,5160459621583932,1,CN,Pink,Teal
151,Calli,Nalder,2005/06/02,F,5463555955302775,2,SV,Goldenrod,Aquamarine
152,Diarmid,Breedy,2011/11/16,M,3530630204889221,4,IL,Khaki,Blue
153,Yves,Caws,2003/06/23,M,5602224808396621306,5,SS,Fuscia,Yellow
154,Alvinia,Dobeson,2012/12/04,F,4844118030181103,5,CN,Red,Red
155,Paton,Faulkner,2004/02/07,M,201523839266416,1,CN,Crimson,Purple
156,Malva,Brolan,2008/07/01,F,3561246365906910,2,TH,Red,Aquamarine
157,Boycey,Brigg,2019/08/21,M,3586196009186208,5,RS,Fuscia,Crimson
158,Noella,Jolin,2020/06/01,F,5602251791710197,1,CO,Red,Puce
159,Louella,Lago,2010/03/13,F,5048374323549552,3,TH,Mauv,Teal
160,Valdemar,Greene,2009/07/28,M,4903141376379086130,2,MM,Khaki,Pink
161,Olimpia,Ikringill,2018/12/12,F,3547444906368828,3,ID,Aquamarine,Blue
162,Lanae,Walrond,2003/11/19,F,3571914581136376,2,ID,Goldenrod,Goldenrod
163,Deb,Snugg,2015/09/13,F,3548090514076243,3,ID,Crimson,Red
164,Thedric,Irvine,2015/12/13,M,5610951275311509,5,ZA,Khaki,Crimson
165,Rosalinde,Conen,2003/10/28,F,30578997703151,2,CN,Crimson,Crimson
166,Dev,MacManus,2020/06/30,M,560223187628606781,1,SY,Teal,Maroon
167,Lulu,Toothill,2005/09/27,F,3538759886258389,3,EC,Indigo,Teal
168,Francisca,Dawidowicz,2010/10/10,F,3541838955491595,1,ID,Indigo,Violet
169,Marchall,Iacovino,2010/11/15,M,4917538272660625,4,PL,Violet,Puce
170,Melosa,Ladell,2012/08/05,F,3560513060123724,1,ID,Green,Red
171,Lorilee,Brock,2008/10/27,F,5100178964733275,1,PH,Blue,Violet
172,Aymer,Vegas,2009/01/09,M,5010121619274575,1,PE,Pink,Aquamarine
173,Gae,Dorrell,2011/08/17,F,3573058892814582,1,BR,Violet,Orange
174,Paton,Pervew,2006/07/13,M,4911772546366869,4,PH,Red,Teal
175,Koressa,Gerrill,2011/04/14,F,589356610980961583,4,CN,Maroon,Yellow
176,Vivyanne,Nutty,2020/08/07,F,3558187175027221,2,PT,Orange,Green
177,Archambault,Redhole,2010/01/12,M,564182197441031472,3,MX,Blue,Orange
178,Sargent,Paling,2016/09/08,M,3566523540525145,5,NO,Maroon,Puce
179,Missie,MacAdam,2003/01/17,F,3555688312774651,5,RU,Blue,Fuscia
180,Eugenio,Spender,2008/10/24,M,5007660499597444,3,JP,Goldenrod,Green
181,Delainey,Dufaur,2010/09/09,M,6762916297152698886,4,ID,Fuscia,Green
182,Kerwin,Stilwell,2018/11/19,M,374288458112165,1,PT,Yellow,Orange
183,Oswald,Todaro,2012/06/06,M,4508083229172353,1,KM,Green,Crimson
184,Alexander,Tregear,2005/11/15,M,5602228148610577,2,BR,Puce,Maroon
185,Calla,Gollard,2008/03/16,F,3589548339512775,5,US,Khaki,Aquamarine
186,Gonzales,Trask,2015/02/03,M,3534250620136762,4,ID,Purple,Violet
187,Lise,Crafts,2017/02/07,F,5318806541258907,2,RU,Maroon,Khaki
188,Chloris,Angove,2015/06/07,F,3575366303978211,3,CN,Aquamarine,Yellow
189,Ardyce,Grishelyov,2005/05/10,F,3589668844198587,2,CN,Khaki,Red
190,Karly,Gianiello,2004/09/03,F,4041594693434,5,SS,Orange,Crimson
191,Ilaire,Isted,2011/09/25,M,3585744820679397,1,CN,Indigo,Red
192,Jermayne,Treversh,2003/02/11,M,3560078312153317,3,CN,Orange,Pink
193,Gayla,Beininck,2005/10/07,F,5602238829970518233,3,ID,Purple,Aquamarine
194,Hiram,Meatcher,2008/02/06,M,3562361875897308,4,ER,Violet,Red
195,Don,Ghirardi,2014/06/08,M,3572256262665045,1,BR,Pink,Orange
196,Goldi,Baumaier,2013/04/17,F,3567522474017920,1,PE,Blue,Yellow
197,Dareen,M'Quharg,2019/12/25,F,3582776434700576,2,ID,Goldenrod,Violet
198,Randolph,Barnardo,2015/04/18,M,3535147535974072,5,BA,Purple,Khaki
199,Margi,Millership,2005/10/20,F,5489936157490065,2,PT,Goldenrod,Purple
200,Imojean,Lathbury,2018/01/13,F,5048370919519348,2,CN,Yellow,Blue
201,Suellen,Chapleo,2016/09/02,F,560223680898345999,5,CA,Turquoise,Maroon
202,Alis,Kynett,2005/01/06,F,3551399309379918,1,NI,Green,Puce
203,Leon,Crudge,2006/02/09,M,5641829130007558,5,PL,Indigo,Maroon
204,Luke,Dickens,2004/04/12,M,3586983541596055,1,HT,Violet,Red
205,Fionnula,Segeswoeth,2012/02/26,F,3550964635251510,5,NL,Crimson,Orange
206,Hadlee,Roches,2007/12/02,M,56100914336285765,2,ID,Aquamarine,Turquoise
207,Tina,Westrope,2018/03/17,F,3535358729687012,5,FR,Red,Purple
208,Ricki,Succamore,2004/05/28,M,3578882051605266,2,RU,Purple,Blue
209,Nathanil,Venditto,2018/06/30,M,6759391755469676,3,PH,Yellow,Teal
210,Clarence,Silbermann,2020/07/09,M,3536172651597415,5,PH,Fuscia,Orange
211,Joni,McCloid,2006/10/22,F,374288383586228,3,FR,Teal,Orange
212,Duff,Grayley,2003/10/23,M,5602225059515688,3,FR,Orange,Teal
213,Sephira,Kupis,2016/01/17,F,5602259150651985,1,ID,Goldenrod,Khaki
214,Tucky,Isacq,2008/11/03,M,5602232819663990209,1,ID,Puce,Teal
215,Octavius,De La Hay,2011/06/03,M,5602259271392121,3,CN,Turquoise,Indigo
216,Steven,Butterick,2013/12/31,M,633410717737724832,2,IT,Violet,Yellow
217,Yolande,Giffard,2006/06/09,F,5554652253210105,3,LK,Blue,Orange
218,Sasha,Avraham,2009/11/01,M,374283342497104,2,PT,Khaki,Maroon
219,Molly,Dougliss,2020/08/28,F,3550498705278525,1,PH,Blue,Teal
220,Cammy,Anthoney,2016/08/23,M,4508475213197430,5,HN,Teal,Fuscia
221,Mada,Exeter,2008/07/11,F,3531145070546747,2,LK,Aquamarine,Purple
222,Gratia,Farfoot,2019/08/11,F,4405801729489413,5,FR,Purple,Puce
223,Berry,Kondratovich,2010/04/12,F,3558768837552167,4,ID,Fuscia,Fuscia
224,Rivi,Sharpus,2012/07/18,F,3555157147644422,1,PT,Maroon,Green
225,Caesar,Willatt,2015/02/05,M,3575968770215652,4,RU,Violet,Puce
226,Frankie,Perfect,2016/05/07,F,3564688183278864,3,CN,Violet,Pink
227,Barnabas,Rumens,2012/08/21,M,5602238393022535,2,TZ,Blue,Orange
228,Nadia,Hawtin,2002/12/16,F,3541663858677896,1,SE,Red,Pink
229,Nels,Jenicke,2010/08/31,M,3531296931792028,2,CN,Orange,Blue
230,Tasha,Bruins,2004/11/14,F,5100142884947506,3,JP,Green,Aquamarine
231,Odie,Weond,2007/04/13,M,3539737264110959,2,GT,Orange,Red
232,Judie,Charon,2019/11/12,F,67096731552697561,1,VN,Violet,Blue
233,Mirilla,Feare,2005/11/04,F,3563991870899930,4,CN,Aquamarine,Maroon
234,Kali,Ginnaly,2018/04/04,F,561078449643611202,1,CN,Aquamarine,Goldenrod
235,Darcey,Brudenell,2019/09/13,F,3529275517700476,5,MZ,Blue,Teal
236,Johnette,Dunseith,2010/08/04,F,3579483903566951,5,PH,Puce,Goldenrod
237,Stillmann,Greatrex,2012/02/11,M,3563955583508518,2,CI,Turquoise,Red
238,Onfroi,Talby,2010/09/06,M,6767971338556420815,1,PT,Aquamarine,Khaki
239,Babara,Crompton,2019/06/03,F,3566162884894047,5,FR,Indigo,Goldenrod
240,Alexandrina,Eddowis,2007/11/13,F,3573187887965891,5,SE,Fuscia,Maroon
241,Richmond,Normaville,2009/05/27,M,3561240059084167,3,PT,Goldenrod,Mauv
242,Giovanna,Chanson,2010/01/29,F,3559889980520832,4,ID,Pink,Teal
243,Isadore,Bruhnsen,2014/12/14,M,3540263463680475,4,BG,Purple,Aquamarine
244,Sergent,Clohissy,2020/07/06,M,3570633083443947,4,LB,Violet,Blue
245,Bridgette,Durrans,2010/02/12,F,3543375427717255,1,ID,Blue,Aquamarine
246,Hashim,Surgen,2016/07/16,M,4508750358859550,1,TZ,Orange,Violet
247,Tailor,Gabbatiss,2009/08/19,M,3581316760473596,4,CN,Red,Teal
248,Keary,Bogges,2013/10/12,M,4041596469619845,5,MN,Indigo,Pink
249,Rees,Merton,2007/11/02,M,4917448604114848,1,ID,Indigo,Aquamarine
250,Kiersten,Shipcott,2008/01/28,F,3544360988022039,2,US,Blue,Khaki
251,Brigg,Valintine,2016/08/20,M,4041599067030,1,PL,Crimson,Teal
252,Oberon,Eldered,2019/12/17,M,30060336437650,2,FI,Yellow,Mauv
253,Tamas,Druce,2014/10/22,M,6380336304714616,5,CN,Khaki,Pink
254,Vinson,Dunkerley,2006/09/14,M,3537232815447367,5,CN,Green,Orange
255,Marga,Ambage,2020/11/06,F,4041373854595,1,CA,Puce,Fuscia
256,Tyler,Pocke,2006/11/17,M,3556357113773002,5,PL,Orange,Fuscia
257,Fernande,Lile,2003/10/09,F,63041202258096024,4,BR,Crimson,Khaki
258,Burlie,Fearnyhough,2017/11/20,M,676263985295130802,4,CN,Indigo,Fuscia
259,Orelie,Campione,2013/11/11,F,491140746109334961,3,CN,Yellow,Green
260,Ranice,Gawthorpe,2016/04/30,F,4913735887015260,4,TD,Indigo,Teal
261,Nessa,Schoular,2011/12/20,F,633476302259739053,2,RU,Mauv,Violet
262,Bartlett,Caroll,2018/08/15,M,3545075558189898,4,TH,Aquamarine,Blue
263,Erin,Haken,2010/10/17,F,343808198112551,5,CL,Mauv,Violet
264,Codee,MacPherson,2007/10/18,F,5586387636339337,2,CN,Khaki,Puce
265,Velma,Conelly,2013/05/12,F,6373181300603192,1,SE,Mauv,Yellow
266,Fredrick,Stott,2005/04/19,M,6759479795566823,1,CN,Turquoise,Purple
267,Essy,Gusney,2016/09/30,F,3558589587052517,3,CN,Violet,Red
268,Justina,Canario,2010/11/04,F,4061627315376572,2,NL,Turquoise,Yellow
269,Lorrie,Johannes,2010/09/05,F,6759843718255646914,5,TZ,Maroon,Khaki
270,Kermit,Pickwell,2008/12/24,M,341228449961379,4,SI,Goldenrod,Pink
271,Andrei,Rizzello,2005/09/22,F,676707400204382951,1,PL,Teal,Turquoise
272,Port,Lowmass,2003/08/19,M,5602242107221052,3,PK,Maroon,Purple
273,Gisella,Goucher,2009/05/24,F,5100147245429961,5,CN,Teal,Green
274,Kendell,Josipovic,2012/05/19,M,3577605621659526,2,RU,Pink,Turquoise
275,Berny,Stanyer,2010/06/28,M,6762941889092946,4,CN,Orange,Fuscia
276,Bambie,Greenough,2005/03/13,F,3581674146761278,4,AR,Blue,Crimson
277,Dar,Tibald,2014/07/07,M,3539770620159444,3,US,Pink,Purple
278,Alejoa,Corain,2006/09/29,M,58938963689624827,1,PH,Green,Khaki
279,Shurwood,Congram,2005/04/09,M,50204929962352497,4,CN,Aquamarine,Maroon
280,Emalia,Soppitt,2017/08/31,F,6763916295584297,5,PT,Fuscia,Orange
281,Querida,Pigdon,2012/03/23,F,4026807694319591,4,PH,Pink,Yellow
282,Ives,Crigin,2020/09/06,M,3548659192470066,3,PT,Turquoise,Mauv
283,Egor,Mandre,2008/04/18,M,3589135208241312,1,PL,Indigo,Khaki
284,Carie,Grinyer,2007/06/08,F,3533779729346907,1,CN,Yellow,Maroon
285,Porty,Mabb,2004/04/30,M,30160575638826,4,CM,Violet,Blue
286,Robinett,Fuentes,2016/07/24,F,375232466741945,3,BR,Goldenrod,Blue
287,Mellie,Firbank,2018/10/13,F,3569111577643127,2,NG,Turquoise,Teal
288,Guillermo,Staves,2016/12/04,M,5602210059069514,3,BR,Crimson,Crimson
289,Callida,Ruit,2018/06/09,F,3538221543656919,4,PL,Violet,Violet
290,Fredric,Pizer,2007/10/12,M,3535499613649245,5,AZ,Crimson,Fuscia
291,Meridith,Hanscom,2011/12/18,F,4041376285920,1,PL,Violet,Teal
292,Filip,Fareweather,2007/02/08,M,3574439556442192,1,AL,Turquoise,Goldenrod
293,Jenifer,Brazener,2010/09/10,F,3566655693400005,5,TN,Red,Teal
294,Chelsae,Mugg,2013/10/30,F,201965913598018,1,CN,Maroon,Crimson
295,Colet,Matous,2009/02/13,M,3577517466163755,4,IE,Crimson,Teal
296,Bartlett,Sicily,2011/05/30,M,6399628626255289,4,UA,Pink,Puce
297,Rudd,Simpson,2013/01/30,M,3581088149309607,5,CO,Pink,Khaki
298,Hew,Tripe,2007/04/27,M,3541253209724868,2,PH,Fuscia,Maroon
299,Normand,Yates,2013/07/02,M,376634533487601,1,PL,Mauv,Turquoise
300,Alexine,Elders,2012/06/02,F,5100148021035790,4,UA,Blue,Indigo
301,Kory,Benfell,2017/01/01,M,67622644257120875,2,BR,Red,Red
302,Shaylah,Francie,2008/07/28,F,3546879357765355,1,GR,Maroon,Fuscia
303,Bernadina,Lloyds,2009/03/11,F,50187200997783614,3,PH,Khaki,Maroon
304,Moina,Suche,2013/01/02,F,3530092140968165,3,FR,Red,Yellow
305,Jasen,Scatcher,2010/06/03,M,6377606941509586,4,NG,Khaki,Puce
306,Stanley,Dossetter,2009/11/09,M,3563221414483615,4,SY,Red,Orange
307,Agathe,Cammish,2005/03/07,F,3585139710314660,4,AR,Goldenrod,Crimson
308,Kain,Daybell,2007/11/19,M,589310549914922086,4,NZ,Goldenrod,Yellow
309,Margit,Wasiel,2016/01/13,F,30309268489993,1,CN,Khaki,Maroon
310,Binnie,Gyde,2007/06/10,F,5610969261352782,3,ID,Purple,Puce
311,Sapphire,Nares,2010/12/22,F,5100148607814899,4,CN,Orange,Pink
312,Dagny,Viollet,2017/11/08,M,676216668682631800,1,MK,Purple,Indigo
313,Rancell,Freke,2003/10/30,M,5379263301611204,5,SY,Maroon,Indigo
314,Allys,Fleisch,2020/02/11,F,3529314228011376,1,ME,Pink,Fuscia
315,Aubree,Guymer,2006/06/11,F,5100170955898597,5,CN,Violet,Khaki
316,Franz,Duce,2012/03/03,M,3534030364725578,1,ID,Indigo,Mauv
317,Aubrey,Anderl,2011/12/10,M,3554951134930856,5,CN,Turquoise,Mauv
318,Gale,Rosoman,2019/02/21,F,3537508540335773,3,RS,Mauv,Yellow
319,Toddie,Baniard,2013/08/17,M,6767953364893867,4,UA,Turquoise,Red
320,Geoffrey,Doorbar,2017/09/12,M,5007669971098417,4,ID,Indigo,Pink
321,Carolin,Hanselmann,2012/08/26,F,3562985544534783,1,PH,Crimson,Goldenrod
322,Domenico,Tiesman,2008/04/23,M,3548465913496202,2,KZ,Khaki,Blue
323,Lida,Licciardi,2013/03/09,F,3570787935083168,5,ID,Green,Mauv
324,Loretta,Rispine,2004/12/30,F,6334763565375517881,3,CN,Blue,Red
325,Kellina,Yele,2008/04/14,F,6706817774835111,4,US,Pink,Mauv
326,Archibaldo,Newart,2019/05/18,M,5414401062318331,3,FR,Goldenrod,Goldenrod
327,Fay,MacNeely,2010/11/25,F,5610737717366577,2,PL,Pink,Orange
